product_id,title,brand,category,subcategory,description,attribute_color,attribute_material,attribute_size,attribute_style,attribute_room,attribute_finish,price,availability,sku,tags,clicks,add_to_cart_count,conversion_rate,popularity_score
CHG-001,Haven Modular Sofa,Cinder Home,furniture,sofas,Three seat modular sofa with washable performance fabric for busy living rooms,oatmeal,performance fabric,3 seat,modern,living room,matte,1299.00,in_stock,CND-SOF-1001,sofa|modular|family room|washable fabric,1840,214,0.071,0.92
CHG-002,Haven Modular Sofa,Emberly,furniture,sofas,Three seat modular sofa with reversible chaise and stain resistant upholstery,charcoal,performance fabric,3 seat,modern,living room,matte,1349.00,in_stock,EMB-SOF-1002,sofa|modular|chaise|near duplicate,1130,142,0.058,0.83
CHG-003,Cloudline Slipcovered Sofa,CinderHome,furniture,sofas,Loose slipcovered sofa with deep cushions for relaxed coastal spaces,white,cotton blend,84 inch,coastal,living room,washed,999.00,out_of_stock,CNH-SOF-1003,sofa|slipcover|coastal|deep seat,920,87,0.043,0.68
CHG-004,Arcadia Accent Chair,Cinder House,furniture,chairs,Curved accent chair for reading corners and compact apartments,forest green,velvet,standard,mid century,living room,brushed,399.00,in_stock,CDH-CHR-1101,chair|accent|reading nook|velvet,760,96,0.064,0.75
CHG-005,Oakridge Storage Bench,Cinder Home,furniture,benches,Wood bench with lift top storage for shoes and blankets,natural oak,wood,48 inch,farmhouse,entryway,natural,289.00,in_stock,CND-BEN-1201,bench|storage|entryway|shoe storage,1410,188,0.082,0.88
CHG-006,Oakridge Storage Bench,Cinder Home,furniture,benches,Wood bench with cushion and hidden storage for entry halls,walnut,wood,48 inch,farmhouse,entryway,oiled,309.00,in_stock,CND-BEN-1202,bench|storage|entryway|duplicate title,990,116,0.061,0.77
CHG-007,Harbor Garden Bench,Patio & Hearth,outdoor,patio furniture,Outdoor bench with slatted seat for porch garden or patio seating,teak,acacia wood,52 inch,classic,outdoor,natural,379.00,out_of_stock,PAH-BEN-1203,bench|garden|patio|outdoor,620,51,0.034,0.55
CHG-008,Marble Top Console Table,Cinder Home,furniture,console tables,Narrow console table for hallway keys lamps and decor,black,metal and marble,42 inch,modern,entryway,polished,449.00,in_stock,CND-CON-1301,console|hallway|narrow table|marble,880,102,0.052,0.73
CHG-009,Walnut Media Console,Cinder & Home,furniture,media consoles,Low media console with cable cutouts and sliding doors,walnut,wood,68 inch,mid century,living room,satin,699.00,in_stock,CNH-CON-1302,console|media storage|tv stand|walnut,1260,133,0.057,0.81
CHG-010,Skyline Writing Desk,Northline Works,furniture,desks,Compact desk with drawer for laptop work and small home offices,white,engineered wood,42 inch,scandinavian,office,matte,229.00,in_stock,NWL-DSK-1401,desk|home office|small spaces|drawer,1540,172,0.069,0.86
CHG-011,Liftwell Standing Desk,Cinder Home,furniture,desks,Adjustable standing desk with memory presets for work from home setups,black,steel and laminate,48 inch,modern,office,powder coated,549.00,in_stock,CND-DSK-1402,standing desk|adjustable|office|ergonomic,1880,246,0.074,0.94
CHG-012,Foundry Bookcase,Elm & Ash,furniture,bookcases,Tall bookcase with five shelves for books baskets and display items,espresso,wood and metal,72 inch,industrial,living room,dark stain,329.00,in_stock,ELA-BKC-1501,bookcase|shelving|display|storage,840,88,0.046,0.69
CHG-013,Mira Round Mirror,Cinder Home,decor,mirrors,Round wall mirror for entryway bedroom or vanity spaces,brass,metal,32 inch,transitional,entryway,antique brass,189.00,in_stock,CND-MIR-2001,mirror|round|entryway|brass,1110,129,0.063,0.79
CHG-014,Gallery Arch Mirror,Cinder House,decor,mirrors,Arch mirror with slim frame for leaning or wall mounting,black,metal,65 inch,modern,bedroom,matte,329.00,in_stock,CDH-MIR-2002,mirror|arch|floor mirror|black frame,980,97,0.049,0.71
CHG-015,Solace Table Lamp,Glowry,lighting,table lamps,Ceramic table lamp with linen shade for bedside reading,warm white,ceramic,24 inch,transitional,bedroom,glazed,129.00,in_stock,GLW-LMP-3001,lamp|bedside|linen shade|reading,1720,201,0.076,0.9
CHG-016,Solace Table Lamp,Glowry,lighting,table lamps,,blue,ceramic,24 inch,transitional,bedroom,glazed,119.00,out_of_stock,GLW-LMP-3002,lamp|bedside|missing description|duplicate title,410,23,0.021,0.38
CHG-017,Task Beam Desk Lamp,Cinder Home,lighting,desk lamps,Adjustable desk lamp with focused shade for work surfaces,black,metal,18 inch,industrial,office,matte,89.00,in_stock,CND-LMP-3003,desk lamp|task lighting|adjustable shade|office,1340,145,0.066,0.82
CHG-018,Linen Drum Shade,Glowry,lighting,lamp shades,Replacement drum shade for table lamps and floor lamps,ivory,linen,medium,classic,bedroom,woven,49.00,in_stock,GLW-SHD-3101,shade|lamp shade|linen|replacement,560,44,0.039,0.5
CHG-019,Blackout Roller Shade,Northline Works,window,window shades,Roller shade for privacy and room darkening in bedrooms,gray,polyester,36 inch,modern,bedroom,plain,79.00,in_stock,NWL-SHD-3102,shade|window shade|blackout|privacy,1490,159,0.071,0.84
CHG-020,Atlas Wool Rug,Cinder Home,rugs,area rugs,Hand tufted wool rug with quiet geometric pattern for living rooms,ivory,wool,8x10,modern,living room,tufted,799.00,in_stock,CND-RUG-4001,rug|wool|area rug|geometric,1310,118,0.052,0.76
CHG-021,Atlas Wool Rug,CinderHome,rugs,area rugs,Hand tufted wool rug with muted pattern for layered neutral rooms,gray,wool,8x10,modern,living room,tufted,779.00,in_stock,CNH-RUG-4002,rug|wool|near duplicate brand|duplicate title,900,83,0.047,0.69
CHG-022,Haven Hallway Runner,Cinder Home,rugs,runners,Long runner rug for hallways kitchens and narrow entries,navy,cotton,2x8,classic,entryway,flat weave,149.00,in_stock,CND-RUG-4101,runner|hallway|kitchen runner|flat weave,1210,136,0.062,0.8
CHG-023,Terra Table Runner,Table & Pantry,kitchen,table linens,Textured table runner for dining tables and holiday place settings,terracotta,cotton,90 inch,rustic,dining room,woven,39.00,in_stock,TAP-LIN-4102,runner|table runner|dining|linen,730,74,0.055,0.66
CHG-024,Willow Washable Runner,Cinder House,rugs,runners,Machine washable runner for mudrooms and busy kitchens,sage,polyester,2x7,farmhouse,kitchen,low pile,129.00,out_of_stock,CDH-RUG-4103,runner|washable|mudroom|kitchen,1010,92,0.044,0.67
CHG-025,Arden Dining Table,Cinder Home,furniture,dining tables,Solid oak dining table that seats six for family meals,natural oak,wood,72 inch,modern,dining room,natural,899.00,in_stock,CND-TBL-5001,dining table|oak|six seats|family meals,1660,198,0.073,0.89
CHG-026,Arden Dining Table,Elm & Ash,furniture,dining tables,Round pedestal dining table for apartments and breakfast rooms,walnut,wood,48 inch,mid century,dining room,satin,749.00,in_stock,ELA-TBL-5002,dining table|round table|apartment|pedestal,980,105,0.059,0.73
CHG-027,Bistro Drop Leaf Table,Northline Works,furniture,dining tables,Small drop leaf table for two person kitchens and studio apartments,white,wood,36 inch,scandinavian,kitchen,painted,249.00,in_stock,NWL-TBL-5003,dining table|drop leaf|small kitchen|two seats,1170,131,0.068,0.78
CHG-028,Stoneware Dinner Set,Table & Pantry,kitchen,dinnerware,Stoneware plates bowls and mugs for everyday dining,cream,stoneware,16 piece,organic modern,dining room,glazed,119.00,in_stock,TAP-DIN-6001,dinnerware|stoneware|plates|bowls,1510,176,0.077,0.85
CHG-029,Copper Core Saucepan,Table & Pantry,kitchen,cookware,Tri ply saucepan with copper core for sauces and grains,copper,stainless steel,3 quart,classic,kitchen,polished,159.00,in_stock,TAP-CWK-6002,saucepan|cookware|copper core|stainless,690,59,0.041,0.58
CHG-030,Cast Iron Dutch Oven,Hearthline,kitchen,cookware,Enameled dutch oven for soups braises and slow cooking,red,cast iron,6 quart,classic,kitchen,enamel,99.00,in_stock,HTL-CWK-6003,dutch oven|cast iron|slow cooking|cookware,1870,241,0.086,0.93
CHG-031,Everyday Sheet Set,Rest & Loom,bedding,sheet sets,Percale cotton sheet set for cool crisp sleep,white,cotton,queen,classic,bedroom,percale,139.00,in_stock,REL-BED-7001,sheets|percale|queen bedding|cool sleep,1590,190,0.081,0.87
CHG-032,Cloud Quilt,Rest & Loom,bedding,quilts,Lightweight quilt with channel stitching for layered beds,sand,cotton,king,coastal,bedroom,washed,189.00,in_stock,REL-BED-7002,quilt|lightweight|king bedding|layering,870,82,0.049,0.7
CHG-033,Velvet Throw Pillow,Cinder Home,decorative accents,pillows,Soft velvet pillow for sofas beds and reading chairs,emerald,velvet,20 inch,glam,living room,soft,59.00,in_stock,CND-PIL-7101,pillow|velvet|sofa accent|decor,1380,152,0.067,0.82
CHG-034,Market Basket,Cinder Home,storage,baskets,Woven basket for blankets toys or laundry in living spaces,natural,seagrass,large,boho,living room,woven,89.00,in_stock,CND-BSK-8001,basket|woven storage|blankets|seagrass,1430,169,0.075,0.84
CHG-035,Market Basket,Cinder & Home,storage,baskets,,black,seagrass,,,,woven,79.00,in_stock,CNH-BSK-8002,basket|sparse attributes|duplicate title|storage,620,54,0.038,0.52
CHG-036,Stackable Pantry Bin,Table & Pantry,storage,kitchen storage,Clear bin for pantry shelves snacks and dry goods,clear,plastic,medium,utility,kitchen,smooth,18.00,in_stock,TAP-BIN-8003,pantry storage|bin|clear|organization,2020,276,0.089,0.95
CHG-037,Underbed Storage Bag,Rest & Loom,storage,bedroom storage,Fabric underbed bag for seasonal bedding and spare linens,gray,fabric,large,utility,bedroom,zippered,34.00,in_stock,REL-BAG-8004,underbed storage|linens|seasonal|bag,950,101,0.058,0.72
CHG-038,Reed Diffuser Set,Cinder Home,decor,home fragrance,Scented reed diffuser for bathrooms bedrooms and entryways,amber,glass,small,spa,bathroom,clear,42.00,in_stock,CND-DEC-9001,diffuser|home fragrance|spa|decor,780,73,0.052,0.63
CHG-039,Framed Botanical Print,Gallery North,decor,wall art,Botanical wall art print in a slim frame for gallery walls,green,paper and wood,18x24,traditional,living room,framed,69.00,in_stock,GAN-ART-9002,wall art|botanical|print|gallery wall,710,64,0.047,0.6
CHG-040,Brass Candle Holder,Cinder House,decorative accents,candle holders,Single taper candle holder for dining tables mantels and consoles,brass,metal,small,classic,dining room,antique brass,29.00,in_stock,CDH-CAN-9003,candle holder|brass|mantel|table decor,540,43,0.042,0.49
CHG-041,Riverstone Patio Chair,Patio & Hearth,outdoor,patio furniture,Weather resistant lounge chair for patios balconies and poolside spaces,taupe,aluminum and rope,standard,modern,outdoor,powder coated,329.00,in_stock,PAH-CHR-9101,patio chair|outdoor lounge|weather resistant|balcony,1080,121,0.064,0.74
CHG-042,Acacia Patio Dining Table,Patio & Hearth,outdoor,patio tables,Outdoor dining table with umbrella hole and acacia slats,natural,acacia wood,72 inch,classic,outdoor,oiled,699.00,out_of_stock,PAH-TBL-9102,patio table|outdoor dining|acacia|umbrella hole,840,76,0.039,0.61
CHG-043,Outdoor Cushion Set,Patio & Hearth,outdoor,outdoor cushions,Two cushion set for patio chairs with fade resistant fabric,navy,polyester,standard,coastal,outdoor,water resistant,99.00,in_stock,PAH-CUS-9103,outdoor cushion|patio|fade resistant|navy,1180,128,0.066,0.78
CHG-044,Minimal Wall Hooks,Northline Works,hardware,wall hooks,Set of five wall hooks for coats bags and entryway organization,black,metal,5 pack,modern,entryway,matte,45.00,in_stock,NWL-HOK-9201,wall hooks|entryway|coat storage|organization,880,92,0.057,0.67
CHG-045,Floating Shelf Set,Cinder Home,decorative accents,shelves,Pair of floating shelves for photos baskets and small decor,walnut,wood,24 inch,modern,living room,satin,119.00,in_stock,CND-SHF-9202,floating shelves|wall storage|display|decor,1320,147,0.061,0.79
